Connecting to console on VM mirageIperfClient. Press Ctrl + ']' to quit.
Setting up iperf client on interface 0
I have IP 192.168.8.102, trying to connect to 192.168.8.101 :5001 
Iperf client: Attempting connection. 
ARP: transmitting probe -> 192.168.8.101
ARP: updating 192.168.8.101 -> 4e:da:e3:99:3e:89
Iperf client: Made connection to server. 
Time=0.001480, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466652140] 
Time=0.001480, Delay=0.000000, Op=WND, Kind=UPD, details=[466685697 466652140 466644845 452893865 0 262140 262140 40880 262140 0 466434749] 
Time=0.001481, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466657976] 
Time=0.001481, Delay=0.000000, Op=WND, Kind=UPD, details=[466685697 466657976 466644845 452893865 0 262140 262140 40880 262140 0 466434749] 
Time=0.001482, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466663812] 
Time=0.001489, Delay=0.000002, Op=TX, Kind=SEG, details=[466685697 452893865] 
Time=0.001492, Delay=0.000002, Op=TX, Kind=SEG, details=[466687156 452893865] 
Time=0.001494, Delay=0.000002, Op=TX, Kind=SEG, details=[466688615 452893865] 
Time=0.001495, Delay=0.000000, Op=WND, Kind=UPD, details=[466690074 466663812 466663812 452893865 0 262140 262140 42340 262140 0 466434749] 
Time=0.001498, Delay=0.000002, Op=TX, Kind=SEG, details=[466690074 452893865] 
Time=0.001501, Delay=0.000002, Op=TX, Kind=SEG, details=[466691533 452893865] 
Time=0.001503, Delay=0.000002, Op=TX, Kind=SEG, details=[466692992 452893865] 
Time=0.001505, Delay=0.000001, Op=TX, Kind=SEG, details=[466694451 452893865] 
Time=0.001510, Delay=0.000004, Op=TX, Kind=SEG, details=[466695910 452893865] 
Time=0.001512, Delay=0.000001, Op=TX, Kind=SEG, details=[466697369 452893865] 
