Connecting to console on VM mirageIperfServer. Press Ctrl + ']' to quit.
Server is using interface 0 with IP address 192.168.8.101
Setting up iperf server listening at port 5001 
Done setting up server 
ARP: updating 192.168.8.102 -> a6:38:2d:35:dd:1b
ARP responding to: who-has 192.168.8.101?
Iperf server: Received connection from 192.168.8.102:18048.
Iperf server: t = 71.543270, rate = 1118 KBits/s, totbytes = 10000000, live_words = 492697
Time=0.000976, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466526666 0 262140 262140 4380 23360 0 452893864] 
Time=0.000977, Delay=0.000011, Op=TX, Kind=SEG, details=[452893865 466526666] 
Time=0.000990, Delay=0.000012, Op=TX, Kind=SEG, details=[452893865 466529584] 
Time=0.000997, Delay=0.000000, Op=RX, Kind=SEG, details=[466529584 452893865] 
Time=0.000998, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466529584 0 262140 262140 4380 23360 0 452893864] 
Time=0.000998, Delay=0.000000, Op=RX, Kind=SEG, details=[466531043 452893865] 
Time=0.000999, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466529584 0 262140 262140 4380 23360 0 452893864] 
Time=0.001007, Delay=0.000000, Op=RX, Kind=SEG, details=[466532502 452893865] 
Time=0.001007, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466532502 0 262140 262140 4380 23360 0 452893864] 
Time=0.001008, Delay=0.000000, Op=RX, Kind=SEG, details=[466533961 452893865] 
Time=0.001008, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466532502 0 262140 262140 4380 23360 0 452893864] 
Time=0.001009, Delay=0.000000, Op=RX, Kind=SEG, details=[466535420 452893865] 
Time=0.001010, Delay=0.000000, Op=RX, Kind=SEG, details=[466536879 452893865] 
Time=0.001010, Delay=0.000010, Op=TX, Kind=SEG, details=[452893865 466532502] 
Time=0.001013, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466538338 0 262140 262140 4380 23360 0 452893864] 
Time=0.001015, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466538338 0 262140 262140 4380 23360 0 452893864] 
Time=0.001019, Delay=0.000000, Op=RX, Kind=SEG, details=[466538338 452893865] 
